Servo,Min Voltage,Max Voltage,Weight,Speed,Stall_Torque,At_Voltage,Features
https://www.adafruit.com/products/169,3,6,9,0.12,1.6,4.8,None
https://www.adafruit.com/products/1449,6,6,13.82,0.1,1.6,6,Analog Feedback
https://www.adafruit.com/products/1450,6,6,15.81,0.1,1.8,6,Analog Feedback
https://www.adafruit.com/products/155,4.8,6,39,0.16,6.5,6,None
https://www.adafruit.com/products/2307,4.8,6.6,14,0.08,3.8,6,None
https://www.adafruit.com/products/2201,4.8,4.8,5,0.1,0.6,4.8,None
https://www.adafruit.com/products/1404,6,6,46,0.21,6.5,6,Analog Feedback
https://www.adafruit.com/products/1143,4.8,6,13.4,0.08,2.2,6,None
https://www.adafruit.com/products/1142,4.8,6,62.41,0.16,10,6,None
https://www.sparkfun.com/products/9065,4.8,6,9,0.1,1.5,6,None
https://www.sparkfun.com/products/11965,4.8,6,40,0.16,6,6,None
https://www.sparkfun.com/products/10333,4.8,6,20,0.18,3.2,6,None
https://www.sparkfun.com/products/11881,4.8,6,152,0.14,24.7,6,None
https://www.sparkfun.com/products/11884,4.8,6,45.5,0.16,4,6,None
https://www.sparkfun.com/products/11883,4.8,6,45.5,0.15,4,6,None
https://www.sparkfun.com/products/11882,4.8,4.8,4.5,0.1,0.8,4.8,None
https://www.sparkfun.com/products/11885,4.8,6,55.2,0.15,6.8,6,None
https://www.sparkfun.com/products/11886,6,7.4,60,0.2,9.6,6,Waterproof
https://www.sparkfun.com/products/12625,4.8,6,110,0.23,13.1,6,None
https://www.sparkfun.com/products/11887,4.8,6,21.9,0.14,3.5,6,None
https://hobbyking.com/en_us/hk-282a-single-screw-ultra-micro-servo-2g-0-2kg-0-08sec.html,,,9,0.08,0.2,,
https://hobbyking.com/en_us/hobbykingtm-hk15318b-low-voltage-micro-servo-11kg-0-08sec-2-2g.html,,,9,0.08,0.11,,
https://hobbyking.com/en_us/wltoys-v977-power-star-servo.html,,,11,0,0,,
https://hobbyking.com/en_us/hobbyking-ultra-micro-servo-1-7g-for-3d-flight-left.html,,,11,0.12,0.08,,
https://hobbyking.com/en_us/hobbyking-ultra-micro-servo-1-7g-for-3d-flight-right.html,,,11,0.12,0.08,,
https://hobbyking.com/en_us/blue-arrow-2-8g-50kg-09sec-high-speed-micro-servo.html,,,13,0.09,0.5,,
https://hobbyking.com/en_us/9103mg-metal-gear-servo-5-6g-1-0kg-12sec.html,,,15,0.12,1,,
https://hobbyking.com/en_us/em-micro-servo-black-9g-1-5kg-12sec.html,,,16,0.12,1.5,,
https://hobbyking.com/en_us/hobbykingtm-hk-15339-micro-analog-servo-0-8kg-0-09sec-7-5g.html,,,16,0.09,0.8,,
https://hobbyking.com/en_us/hobbykingtm-hkscm12-5-single-chip-digital-servo-1-5kg-0-18sec-10g.html,,,17,0.18,1.5,,
https://hobbyking.com/en_us/hobbykingtm-hkscm12-6-single-chip-digital-servo-1-7kg-0-16sec-12g.html,,,17,0.16,1.7,,
https://hobbyking.com/en_us/hobbykingtm-hkscm16-5-single-chip-digital-servo-2kg-0-15sec-13g.html,,,18,0.15,2,,
https://hobbyking.com/en_us/ssv-9314mg-14-7g-1-9kg-12sec-precision-servo.html,,,19,0.1,1.9,,
https://hobbyking.com/en_us/turnigytm-tgy-1440a-analog-servo-v2-0-8kg-0-10sec-4-4g.html,,,19,0.1,1,,
https://hobbyking.com/en_us/turnigytm-tgy-245-lv-low-voltage-dlg-wing-servo-w-alloy-case-1-4kg-0-12sec-8-6g.html,,,19,0.12,1.4,,
https://hobbyking.com/en_us/power-hd-1900a-servo-1-7kg-0-08sec-9g.html,,,20,0.08,1.7,,
https://hobbyking.com/en_us/hobbykingtm-hkscm16-6-single-chip-digital-servo-2-5kg-0-13sec-16g.html,,,20,0.13,2.5,,
https://hobbyking.com/en_us/9g-metal-gear-rudder-servo.html,,,20,0.13,3.1,,
https://hobbyking.com/en_us/single-cell-3-2g-16kg-10sec-digital-ultra-micro-servo.html,,,21,0.1,0.16,,
https://hobbyking.com/en_us/turnigytm-tss-9-digital-micro-servo-1-9kg-0-11sec-9g.html,,,21,0.11,1.9,,
https://hobbyking.com/en_us/em-micro-servo-blue-9g-1-5kg-12sec.html,,,23,0.12,1.5,,
https://hobbyking.com/en_us/towerpro-mg90d-mini-digital-servo-2-4kg-0-08sec-13g.html,,,24,0.08,2.4,,
https://hobbyking.com/en_us/hobbykingtm-digital-coreless-servo-mg-bb-1-4kg-0-05sec-15-3g.html,,,24,0.05,1.4,,
https://hobbyking.com/en_us/vigor-vs-5m-mg-servo-10g-1-2kg-0-17sec.html,,,25,0.17,1.2,,
https://hobbyking.com/en_us/hextronik-mg-14-14g-2-6kg-0-11sec-digital-aircraft-servo.html,,,25,0.11,2.6,,
https://hobbyking.com/en_us/single-cell-3-9g-18kg-10sec-high-speed-micro-servo.html,,,25,0.1,0.18,,
https://hobbyking.com/en_us/arrow-4-3g-8kg-12sec-micro-servo.html,,,25,0.12,0.8,,
https://hobbyking.com/en_us/corona-ds929hv-7-4v-mg-digital-servo-2-4kg-0-09sec-12-5g.html,,,25,0.09,2.4,,
https://hobbyking.com/en_us/jr-ds388hv-micro-high-speed-digital-servo-1-0kg-0-08sec-9g.html,,,26,0.08,1,,
https://hobbyking.com/en_us/bms-306-micro-servo-0-8kg-11sec-6g.html,,,28,0.11,0.8,,
https://hobbyking.com/en_us/corona-ds939hv-digital-metal-gear-servo-2-8kg-0-12sec-12-5g.html,,,28,0.12,2.8,,
https://hobbyking.com/en_us/bms-308db-digital-dual-ball-bearing-micro-servo-1-2kg-0-10sec-6g.html,,,29,0.1,1.2,,
https://hobbyking.com/en_us/turnigy-digital-high-torque-bearing-servo-15-8g-3-9kg-0-13sec.html,,,30,0.13,3.9,,
https://hobbyking.com/en_us/bms-371-micro-servo-1-5kg-12sec-8-4g.html,,,31,0.12,1.5,,
https://hobbyking.com/en_us/corona-939mg-digital-metal-gear-servo-2-7kg-0-13sec-12-5g.html,,,31,0.13,2.7,,
https://hobbyking.com/en_us/hobbykingtm-digital-coreless-servo-bb-2-8kg-0-07sec-25g.html,,,32,0.07,2.8,,
https://hobbyking.com/en_us/turnigytm-tgy-213c-metal-cased-250-helicopter-cyclic-servo-3kg-0-07sec-16g.html,,,32,0.07,3,,
https://hobbyking.com/en_us/hk15322mg-digital-slim-wing-servo-1-75kg-0-10sec-19g.html,,,32,0.1,1.75,,
https://hobbyking.com/en_us/corona-929mg-metal-gear-servo-2-2kg-0-10sec-12-5g.html,,,33,0.1,2.2,,
https://hobbyking.com/en_us/corona-939mg-metal-gear-servo-2-5kg-0-14sec-12-5g.html,,,33,0.14,2.5,,
https://hobbyking.com/en_us/turnigytm-tgy-306g-hv-ultra-fast-high-torque-ds-mg-hv-alloy-case-3-7kg-0-05sec-21g.html,,,33,0.05,3.7,,
https://hobbyking.com/en_us/turnigytm-s3101s-servo-2-5kg-0-14sec-17g.html,,,35,0.14,2.5,,
https://hobbyking.com/en_us/corona-digital-servo-2-2kg-0-11sec-12-5g.html,,,35,0.11,2.2,,
https://hobbyking.com/en_us/corona-919mg-digital-metal-gear-servo-1-7kg-0-06sec-12g.html,,,35,0.06,1.7,,
https://hobbyking.com/en_us/hobbykingtm-hk-922mg-digital-mg-servo-1-8kg-0-07sec-12g.html,,,35,0.07,1.8,,
https://hobbyking.com/en_us/hobbykingtm-hk-933mg-digital-mg-servo-2-0kg-0-10sec-12g.html,,,35,0.1,2,,
https://hobbyking.com/en_us/turnigytm-mx-353s-mini-ds-servo-3kg-0-12sec-17g.html,,,35,0.12,3,,
https://hobbyking.com/en_us/turnigytm-s3317b-bb-servo-2-5kg-0-14sec-19g.html,,,37,0.14,2.5,,
https://hobbyking.com/en_us/turnigytm-tgy-s3317s-all-purpose-servo-2-3kg-0-14sec-17g.html,,,37,0.14,2.3,,
https://hobbyking.com/en_us/turnigytm-bms-380max-micro-mg-servo-4-1kg-0-16sec-17-4g.html,,,38,0.14,4.7,,
https://hobbyking.com/en_us/turnigytm-tgy-306g-ultra-fast-high-torque-ds-mg-alloy-cased-servo-3kg-0-06sec-21g.html,,,38,0.06,3,,
https://hobbyking.com/en_us/turnigytm-tgy-1370a-servo-0-4kg-0-10sec-3-7g.html,,,39,0.1,0.4,,
https://hobbyking.com/en_us/turnigytm-tgy-375dmg-w-heat-sink-ds-mg-2-3kg-0-11sec-11-5g.html,,,39,0.11,2.3,,
https://hobbyking.com/en_us/digital-metal-gear-servo-16g-3-9kg-13sec.html,,,39,0.13,3.9,,
https://hobbyking.com/en_us/hks-9650-high-speed-servo-2-3kg-25g-0-08sec.html,,,41,0.08,2.3,,
https://hobbyking.com/en_us/hobbykingtm-hk7000mg-coreless-servo-3-5kg-0-07sec-19g.html,,,42,0.07,3.5,,
https://hobbyking.com/en_us/corona-cs238hv-analog-metal-gear-servo-4-6kg-0-13sec-22g.html,,,43,0.13,4.6,,
https://hobbyking.com/en_us/bms-371-micro-precision-servo-1-5kg-12sec-8g.html,,,43,0.12,1.5,,
https://hobbyking.com/en_us/hks-9257-high-speed-servo-4-5kg-25g-0-07sec.html,,,43,0.07,4.5,,
https://hobbyking.com/en_us/turnigy-digital-high-torque-ballraced-servo-26g-3-5kg-12sec.html,,,45,0.12,3.5,,
https://hobbyking.com/en_us/corona-cs238mg-metal-gear-servo-4-6kg-0-14sec-22g.html,,,45,0.14,22,,
https://hobbyking.com/en_us/turnigytm-tgy-778mg-slim-wing-ds-mg-servo-5-5kg-0-10sec-23g.html,,,45,0.1,5.5,,
https://hobbyking.com/en_us/hobbykingtm-15346-analog-servo-3-0kg-0-12sec-37g.html,,,46,0.12,3,,
https://hobbyking.com/en_us/turnigytm-tgy-390dmh-high-performance-ds-mg-servo-5-4kg-0-11sec-22-5g.html,,,47,0.11,5.4,,
https://hobbyking.com/en_us/bms-390dmh-high-performance-digital-servo-extra-strong-5-4kg-11sec-22-5g.html,,,47,0.11,5.4,,
https://hobbyking.com/en_us/turnigytm-mx-907e-coreless-bb-park-servo-2-5kg-0-08sec-20g.html,,,47,0.08,2.5,,
https://hobbyking.com/en_us/rjx-fs-0435hv-metal-gear-digital-servo-ultra-high-speed-3-4kg-0-04sec-20g.html,,,48,0.04,3.4,,
https://hobbyking.com/en_us/skate-1000-trimaran-sailboat-1700mm-3kg-steering-servo.html,,,48,0.19,3,,
https://hobbyking.com/en_us/assault-reaper-500-digital-servo-reaper500-z-30.html,,,48,0,0,,
https://hobbyking.com/en_us/goteck-dc2124t-digital-mg-metal-cased-mini-servo-20g-5-8kg-0-12sec.html,,,48,0.12,5.8,,
https://hobbyking.com/en_us/hobbykingtm-hk15158b-digital-coreless-mini-servo-bb-2kg-0-08sec-32g.html,,,49,0.08,1.5,,
https://hobbyking.com/en_us/goteck-dc1511s-digital-mg-high-torque-low-profile-car-servo-45g-12kg-0-09sec.html,,,50,0.09,12,,
https://hobbyking.com/en_us/goteck-da2311t-digital-mg-metal-cased-park-servo-23g-5-2kg-0-12sec.html,,,51,0.12,5.2,,
https://hobbyking.com/en_us/goteck-da2312t-digital-mg-metal-cased-park-servo-23g-6-4kg-0-16sec.html,,,51,0.16,6.4,,
https://hobbyking.com/en_us/hobbykingtm-mi-digital-high-speed-servo-mg-3-0kg-0-08sec-26g.html,,,53,0.08,3,,
https://hobbyking.com/en_us/bms-136-retract-servo-6-1kg-31sec-28g.html,,,55,0.31,6.1,,
https://hobbyking.com/en_us/power-hd-3688hb-digital-servo-2-8kg-0-07sec-25g.html,,,55,0.07,2.8,,
https://hobbyking.com/en_us/hobbykingtm-high-torque-analog-servo-waterproof-4-5kg-0-13sec-40g.html,,,55,0.13,4.5,,
https://hobbyking.com/en_us/bms-705-low-profile-high-torque-servo-6-0kg-18sec-28g.html,,,56,0.18,6,,
https://hobbyking.com/en_us/s24011-heavy-duty-high-speed-servo-24-7g-2-4kg-08sec.html,,,57,0.08,2.4,,
https://hobbyking.com/en_us/corona-ds329mg-digital-metal-gear-servo-3-8kg-0-11sec-32g.html,,,58,0.11,4.5,,
https://hobbyking.com/en_us/corona-ds339mg-digital-metal-gear-servo-4-4kg-0-15sec-32g.html,,,58,0.14,5,,
https://hobbyking.com/en_us/d26010-26g-2-4kg-08sec-digital-high-speed-servo.html,,,59,0.08,2.4,,
https://hobbyking.com/en_us/hobbykingtm-15347-analog-servo-bb-4-7kg-0-78sec-38g.html,,,59,0.78,4.7,,
https://hobbyking.com/en_us/turnigytm-mx-300s-bb-standard-servo-4-8kg-0-14sec-37g.html,,,60,0.14,4.8,,
https://hobbyking.com/en_us/turnigytm-mx-300s-standard-digital-servo-4-8kg-0-14sec-37g.html,,,60,0.14,4.8,,
https://hobbyking.com/en_us/bms-136mg-retract-servo-metal-gear-6-1kg-31sec-34g.html,,,61,0.24,7.8,,
https://hobbyking.com/en_us/hobbykingtm-waterproof-analog-servo-3-2kg-0-17sec-40g.html,,,61,0.17,3.2,,
https://hobbyking.com/en_us/bms-21hv-high-voltage-micro-servo-metal-gear-3-2kg-09sec-15-2g.html,,,62,0.09,3.2,,
https://hobbyking.com/en_us/bms-22hv-high-voltage-micro-servo-metal-gear-2-5kg-05sec-15-2g.html,,,62,0.05,2.5,,
https://hobbyking.com/en_us/vigor-vs-2a-servo-39-2g-5kg-0-17sec.html,,,62,0.17,5,,
https://hobbyking.com/en_us/bms-760dmg-low-profile-digital-servo-metal-gear-5-6kg-18sec-34g.html,,,63,0.16,7.2,,
https://hobbyking.com/en_us/goteck-hc2422t-hv-digital-mg-metal-cased-car-servo-35g-8-5kg-0-08sec.html,,,64,0.08,8.5,,
https://hobbyking.com/en_us/bms-376dmg-hs-mini-digital-servo-mg-1-6kg-13sec-12g.html,,,65,0.13,1.6,,
https://hobbyking.com/en_us/turnigytm-bms-555mg-slim-wing-mg-servo-4-2kg-0-15sec-23g.html,,,65,0.15,4.2,,
https://hobbyking.com/en_us/goteck-hc2421t-hv-digital-mg-metal-cased-car-servo-35g-6-5kg-0-05sec.html,,,67,0.05,6.5,,
https://hobbyking.com/en_us/winch-servo-set.html,,,68,0.7,6.13,,
https://hobbyking.com/en_us/ssv-42g-9-7kg-cm-12sec-servo.html,,,69,0.12,9.7,,
https://hobbyking.com/en_us/goteck-hb2411t-hv-digital-brushless-mg-metal-cased-car-servo-35g-5-5kg-0-05sec.html,,,69,0.05,5.5,,
https://hobbyking.com/en_us/goteck-hb2412t-hv-digital-brushless-mg-metal-cased-car-servo-7-5kg-0-07sec-35g.html,,,69,0.07,7.5,,
https://hobbyking.com/en_us/turnigytm-tgy-sm-4504bw-analog-all-purpose-servo-4-8kg-0-16-sec-39g.html,,,70,0.16,4.8,,
https://hobbyking.com/en_us/turnigy-tgy-sm-s4562h-180-analogue-servo-5-3kg-0-17sec-44g.html,,,72,0.17,5.3,,
https://hobbyking.com/en_us/sw4805-6pa-sailwinch-servo-6-13kg-45g-0-70.html,,,72,0.7,6.13,,
https://hobbyking.com/en_us/bms-621-high-speed-servo-6-4kg-13sec-41g.html,,,72,0.1,7.2,,
https://hobbyking.com/en_us/turnigytm-mx-355wp-waterproof-bb-as-mg-servo-12kg-0-14sec-42g.html,,,72,0.14,12,,
https://hobbyking.com/en_us/power-hd-ar-3606hb-robot-servo.html,,,73,0.14,6.7,,
https://hobbyking.com/en_us/turnigy-tgy-an6-standard-analog-servo-6-8kg-0-13sec-40g.html,,,73,0.13,6.8,,
https://hobbyking.com/en_us/turnigytm-tgy-s4405s-dual-bearing-ds-servo-4-4kg-0-10sec-39g.html,,,75,0.1,4.4,,
https://hobbyking.com/en_us/hobbykingtm-mi-digital-high-speed-servo-mg-5kg-0-06sec-52g.html,,,75,0.06,5.5,,
https://hobbyking.com/en_us/hobbykingtm-mi-digital-high-torque-servo-mg-10kg-0-10sec-52g.html,,,75,0.1,10,,
https://hobbyking.com/en_us/hobbykingtm-mi-digital-high-speed-servo-mg-5-6kg-0-04sec-58g.html,,,75,0.04,5.6,,
https://hobbyking.com/en_us/hobbykingtm-mi-digital-high-speed-servo-mg-5-60kg-0-04sec-61g.html,,,75,0.04,5.6,,
https://hobbyking.com/en_us/hobbykingtm-mi-digital-high-torque-servo-mg-11-8kg-0-07sec-61g.html,,,75,0.07,11.8,,
https://hobbyking.com/en_us/turnigytm-tgy-210dmh-coreless-w-heat-sink-ds-mg-servo-3-9kg-0-13sec-16g.html,,,76,0.13,3.9,,
https://hobbyking.com/en_us/turnigytm-tgy-212dmh-coreless-ds-mg-servo-w-heat-sink-1-4kg-0-05sec-16g.html,,,76,0.05,1.4,,
https://hobbyking.com/en_us/sm-s4408m-h-d-servo-51g-8-6kg-11-sec.html,,,78,0.11,8.6,,
https://hobbyking.com/en_us/bms-631mg-super-fast-servo-metal-gear-5-0kg-10sec-46g.html,,,78,0.08,6.2,,
https://hobbyking.com/en_us/bms-621mg-high-speed-servo-metal-gear-6-4kg-13sec-47g.html,,,79,0.1,7.2,,
https://hobbyking.com/en_us/digital-high-torque-bearing-servo-42g-6-5kg-14sec.html,,,79,0.14,6.5,,
https://hobbyking.com/en_us/bms-a56v-high-voltage-slim-wing-metal-gear-8-6kg-12sec-28-4g.html,,,80,0.12,8.6,,
https://hobbyking.com/en_us/sail-winch-servo-13kg-0-7sec-360deg-55g.html,,,80,0.7,13,,
https://hobbyking.com/en_us/bms-a206-mg-digital-mini-servo-3-2kg-0-05sec-22-5g.html,,,82,0.05,3.2,,
https://hobbyking.com/en_us/trackstar-ts-p12s-high-speed-digital-1-12-scale-pan-car-steering-servo-3-6kg-0-05sec-28g.html,,,83,0.05,3.6,,
https://hobbyking.com/en_us/corona-ds-236mg-metal-gear-servo-7-0kg-0-12sec-27g.html,,,84,0.12,7,,
https://hobbyking.com/en_us/hobbykingtm-hk15328a-analog-servo-bb-mg-12-8kg-0-20sec-58g.html,,,84,0.2,12.8,,
https://hobbyking.com/en_us/power-hd-ar-1201mg-robot-servo.html,,,85,0.2,13.5,,
https://hobbyking.com/en_us/bms-965dmg-coreless-digital-metal-gear-high-torque-servo-5-7kg-11sec-29-5g.html,,,89,0.11,5.7,,
https://hobbyking.com/en_us/rotorstartm-rs-3878mgt-digital-helicopter-ds-mg-servo-6-8kg-0-12sec-26g.html,,,89,12,6.8,,
https://hobbyking.com/en_us/hobbykingtm-hk15298-high-voltage-coreless-digital-servo-mg-bb-15kg-0-11sec-66g.html,,,91,0.11,15,,
https://hobbyking.com/en_us/hobbykingtm-mi-digital-servo-hv-mg-11-8kg-0-06sec-61g.html,,,92,0.06,11.8,,
https://hobbyking.com/en_us/turnigytm-tgy-9150mg-ds-mg-servo-15-8kg-0-17sec-60g.html,,,97,0.17,15.8,,
https://hobbyking.com/en_us/ssv-9784mg-heatsink-servo-53g-13-6kg-13sec.html,,,99,0.13,13.6,,
https://hobbyking.com/en_us/bms-988dmh-servo-high-performance-digital-30-5g-0-11-sec-4-6-kgs.html,,,100,0.11,4.6,,
https://hobbyking.com/en_us/rjx-fs-0390hv-hi-torque-mini-servo-12-3kg-45g-0-053sec.html,,,101,0.05,12.3,,
https://hobbyking.com/en_us/turnigytm-1268hv-titanium-bb-ds-mg-servo-16kg-0-12sec-57g.html,,,102,0.12,16,,
https://hobbyking.com/en_us/turnigytm-tgy-1269hv-titanium-hv-bb-ds-mg-servo-21kg-0-16sec-57g.html,,,102,0.16,21,,
https://hobbyking.com/en_us/bms-811dmgplushs-high-performance-digital-servo-metal-gear-5-0kg-15sec-45g.html,,,102,0.13,6.2,,
https://hobbyking.com/en_us/bms-820dmg-hs-high-performance-digital-metal-gear-9-2kg-09sec-45g.html,,,102,0.11,10.6,,
https://hobbyking.com/en_us/trackstar-ts-d99x-digital-1-10-scale-touring-drift-buggy-steering-servo-10kg-0-08sec-45g.html,,,104,0.08,10,,
https://hobbyking.com/en_us/turnigytm-sc-3404v-ds-helicopter-spec-servo-3-6kg-0-04sec-33g.html,,,106,0.04,3.6,,
https://hobbyking.com/en_us/rjx-fs-0391thv-metal-gear-digital-tail-servo-ultra-high-speed-10-6kg-0-03sec-50g.html,,,108,0.03,10.6,,
https://hobbyking.com/en_us/bms-955dmg-digital-low-profile-high-speed-metal-gear-servo-5-2kg-0-08sec-45g.html,,,109,0.08,5.5,,
https://hobbyking.com/en_us/bms-617mg-hs-super-fast-servo-mos-fet-for-competition-6-8kg-10sec-46g.html,,,111,0.1,6.8,,
https://hobbyking.com/en_us/aerostartm-asi-613mg-coreless-ds-mg-servo-13-83kg-0-103sec-61g.html,,,115,0.1,13.83,,
https://hobbyking.com/en_us/turnigytm-tgy-589mg-high-torque-hv-bb-ds-mg-servo-w-alloy-case-8kg-0-09sec-40g.html,,,116,0.09,8,,
https://hobbyking.com/en_us/turnigytm-tgy-565mg-high-speed-hv-ds-mg-servo-w-alloy-case-5kg-0-05sec-40g.html,,,116,0.05,5,,
https://hobbyking.com/en_us/bms-661mg-hs-super-fast-servo-metal-gear-5-3kg-10sec-46-5g.html,,,116,0.08,6.4,,
https://hobbyking.com/en_us/d50024mg-360-degree-continuous-travel-digital-n-roll-gimbal-servo-5-0kg-0-05s-60g.html,,,120,0.05,6,,
https://hobbyking.com/en_us/turnigytm-tgy-505bl-brushless-hv-ds-mg-servo-w-alloy-case-6-2kg-0-08sec-40g.html,,,120,0.08,6.2,,
https://hobbyking.com/en_us/turnigytm-tgy-505hs-brushless-hs-hv-bb-ds-mg-servo-w-alloy-case-4-8kg-0-04sec-40g.html,,,120,0.04,4.8,,
https://hobbyking.com/en_us/rjx-fs-0521hv-metal-gear-digital-servo-ultra-high-speed-and-torque-21-3kg-0-05sec-68g.html,,,122,0.05,21.3,,
https://hobbyking.com/en_us/hobbykingtm-mi-digital-brushless-magnetic-induction-hv-mg-servo-4kg-0-034sec-57g.html,,,122,0.03,4,,
https://hobbyking.com/en_us/goteck-bl1511s-digital-brushless-mg-high-torque-low-profile-car-servo-45g-12kg-0-07sec.html,,,123,0.07,12,,
https://hobbyking.com/en_us/hobbykingtm-mi-digital-brushless-magnetic-induction-hv-mg-servo-10-8kg-0-10sec-56g.html,,,124,0.1,10.8,,
https://hobbyking.com/en_us/bms-660mg-hs-super-strong-servo-12-6kg-20sec-51-3g.html,,,126,0.17,14.2,,
https://hobbyking.com/en_us/towerpro-mg968-digital-titanium-gear-high-torque-servo-25kg-0-13sec-65g.html,,,127,0.13,25,,
https://hobbyking.com/en_us/bms-621dmgplushs-high-speed-digital-servo-mg-7-2kg-10sec-46-5g.html,,,131,0.1,7.2,,
https://hobbyking.com/en_us/bms-661dmg-hs-super-fast-digital-servo-mg-6-4kg-08sec-46-5g.html,,,133,0.08,6.4,,
https://hobbyking.com/en_us/bms-830dmgplushs-high-performance-digital-servo-metal-gear-11-6kg-12sec-58g.html,,,135,0.16,11.6,,
https://hobbyking.com/en_us/bms-862dmaxplushs-champion-digital-servo-mg-18-8kg-15sec-54g.html,,,138,0.15,18.8,,
https://hobbyking.com/en_us/dms33016mg-330-degree-travel-fpv-servo-9-50kg-0-07s-60g.html,,,139,0.07,9.5,,
https://hobbyking.com/en_us/goteck-dc2511s-digital-mg-metal-cased-car-servo-62g-12kg-0-09sec.html,,,141,0.09,12,,
https://hobbyking.com/en_us/goteck-dc1611s-digital-mg-high-torque-std-servo-22kg-0-14sec-53g.html,,,142,0.14,22,,
https://hobbyking.com/en_us/goteck-dc1612s-digital-mg-high-torque-std-servo-53g-12kg-0-07sec.html,,,142,0.07,12,,
https://hobbyking.com/en_us/goteck-hb1623s-hv-digital-brushless-mg-high-torque-std-servo-16kg-0-10sec-53g.html,,,142,0.1,16,,
https://hobbyking.com/en_us/goteck-hc1627s-hv-digital-mg-high-torque-std-servo-29kg-0-14sec-53g.html,,,145,0.14,29,,
https://hobbyking.com/en_us/goteck-dc1614s-digital-mg-high-torque-std-servo-16kg-0-12sec-53g.html,,,146,0.12,16,,
https://hobbyking.com/en_us/vs-11-vigor-extra-large-servo-19sec-19kg-103g.html,,,151,0.19,19,,
https://hobbyking.com/en_us/goteck-dc2611s-digital-mg-metal-cased-high-torque-servo-22kg-0-14sec-77g.html,,,154,0.14,22,,
https://hobbyking.com/en_us/goteck-hb2621s-hv-digital-brushless-mg-metal-cased-high-torque-servo-19kg-0-07sec-77g.html,,,154,0.07,19,,
https://hobbyking.com/en_us/bls-1004-high-voltage-7-4v-brushless-digital-servo-w-nanometer-alloy-gear-9-7kg-048sec-66g.html,,,156,0.04,9.7,,
https://hobbyking.com/en_us/goteck-dc2614s-digital-mg-metal-cased-high-torque-servo-16kg-0-12sec-77g.html,,,156,0.12,14,,
https://hobbyking.com/en_us/goteck-hc2627s-hv-digital-metal-cased-mg-high-torque-std-servo-29kg-0-14sec-77g.html,,,156,0.14,29,,
https://hobbyking.com/en_us/goteck-hb2622s-hv-digital-brushless-mg-metal-cased-high-torque-servo-22kg-0-11sec-77g.html,,,157,0.11,22,,
https://hobbyking.com/en_us/bls-2112-wide-voltage-4-8-7-4v-brushless-digital-servo-w-titanium-alloy-gear-21-5kg-12sec-66g.html,,,158,0.12,21.5,,
https://hobbyking.com/en_us/goteck-hb1621s-hv-digital-brushless-mg-high-torque-std-servo-19kg-0-07sec-53g.html,,,158,0.07,19,,
https://hobbyking.com/en_us/turnigy-1209hp-ultra-fast-coreless-digital-servo-50g-5kg-0-05.html,,,163,0.05,5,,
https://hobbyking.com/en_us/bls-26a-high-voltage-7-4v-brushless-digital-servo-w-titanium-alloy-gear-26-5kg-09sec-74g.html,,,168,0.1,28.5,,
https://hobbyking.com/en_us/turnigy-1258tg-digital-titanium-gear-servo-57g-13-5kg-10sec.html,,,169,0.1,13.5,,
https://hobbyking.com/en_us/turnigytm-tgy-1267hv-titanium-bb-ds-mg-servo-14kg-0-10sec-57g.html,,,175,0.1,14,,
https://hobbyking.com/en_us/bms-35a-high-voltage-7-4v-coreless-digital-servo-w-titanium-alloy-gear-35-5kg-14sec-74g.html,,,181,0.14,35.5,,
https://hobbyking.com/en_us/power-hd-storm-6-high-voltage-hi-speed-digital-brushless-servo-w-titanium-alloy-gears-9-5kg-80g-04s.html,,,185,0.04,9.5,,
https://hobbyking.com/en_us/turnigytm-s8166m-high-torque-servo-33kg-0-21sec-154g.html,,,199,0.21,33,,
https://hobbyking.com/en_us/vigor-vsd-11ymb-mg-hv-extra-large-360-degree-winch-servo-0-75sec-28kg-150g.html,,,200,0.75,40,,
https://hobbyking.com/en_us/bms-l530mg-1-5-scale-servo-19-8kg-15sec-140-5g.html,,,222,0.12,24.3,,
https://hobbyking.com/en_us/bms-l530dmg-digital-servo-mg-19-8kg-15sec-140-5g.html,,,235,0.12,24.3,,
https://hobbyking.com/en_us/bms-l560dmgplushs-1-4-scale-digital-servo-mg-22-3kg-16sec-140-5g.html,,,255,0.13,27.5,,
https://hobbyking.com/en_us/tone-ps-050-heavy-duty-91-50kg-cm-professional-servo.html,,,465,0.29,91.5,,
